Date_Gregorian,Date_Jalali,Daily_Impressions
2026-02-28,1404-12-09,615888
2026-03-01,1404-12-10,127976
2026-03-02,1404-12-11,527314
2026-03-03,1404-12-12,149663
2026-03-04,1404-12-13,193449
2026-03-05,1404-12-14,214453
2026-03-06,1404-12-15,370586
2026-03-07,1404-12-16,353546
2026-03-08,1404-12-17,477063
2026-03-09,1404-12-18,197246
2026-03-10,1404-12-19,310555
2026-03-11,1404-12-20,275928
2026-03-12,1404-12-21,254113
2026-03-13,1404-12-22,176114
2026-03-14,1404-12-23,394961
2026-03-15,1404-12-24,254123
2026-03-16,1404-12-25,232016
2026-03-17,1404-12-26,237777
2026-03-18,1404-12-27,169723
2026-03-19,1404-12-28,189135
2026-03-20,1404-12-29,270695
2026-03-21,1405-01-01,257756
2026-03-22,1405-01-02,203678
2026-03-23,1405-01-03,273125
2026-03-24,1405-01-04,292744
2026-03-25,1405-01-05,415249
2026-03-26,1405-01-06,261376
2026-03-27,1405-01-07,255961
2026-03-28,1405-01-08,395149
2026-03-29,1405-01-09,362897
2026-03-30,1405-01-10,271524
2026-03-31,1405-01-11,297580
2026-04-01,1405-01-12,148625.5
2026-04-02,1405-01-13,18111.5
